year,month,state,no_of_fires,date
2004,Dec,Rio,99,1/1/2004
2005,Dec,Rio,35,1/1/2005
2006,Dec,Rio,15,1/1/2006
2007,Dec,Rio,25,1/1/2007
2008,Dec,Rio,32,1/1/2008
2009,Dec,Rio,15,1/1/2009
2010,Dec,Rio,103,1/1/2010
2011,Dec,Rio,69,1/1/2011
2012,Dec,Rio,38,1/1/2012
2013,Dec,Rio,62,1/1/2013
2014,Dec,Rio,31,1/1/2014
2015,Dec,Rio,42,1/1/2015
2016,Dec,Rio,79,1/1/2016
1998,Jan,rondonia,0,1/1/1998
1999,Jan,rondonia,1,1/1/1999
2000,Jan,rondonia,0,1/1/2000
2001,Jan,rondonia,0,1/1/2001
2002,Jan,rondonia,6,1/1/2002
2003,Jan,rondonia,62,1/1/2003
2004,Jan,rondonia,30,1/1/2004
2005,Jan,rondonia,99,1/1/2005
2006,Jan,rondonia,16,1/1/2006
2007,Jan,rondonia,33,1/1/2007
2008,Jan,rondonia,4,1/1/2008
2009,Jan,rondonia,17,1/1/2009
2010,Jan,rondonia,18,1/1/2010
2011,Jan,rondonia,1,1/1/2011
2012,Jan,rondonia,2,1/1/2012
2013,Jan,rondonia,7,1/1/2013
2014,Jan,rondonia,12,1/1/2014
2015,Jan,rondonia,30,1/1/2015
2016,Jan,rondonia,93,1/1/2016
2017,Jan,rondonia,44,1/1/2017
1998,Feb,rondonia,0,1/1/1998
1999,Feb,rondonia,1,1/1/1999
2000,Feb,rondonia,6,1/1/2000
2001,Feb,rondonia,2,1/1/2001
2002,Feb,rondonia,8,1/1/2002
2003,Feb,rondonia,10,1/1/2003
2004,Feb,rondonia,12,1/1/2004
2005,Feb,rondonia,42,1/1/2005
2006,Feb,rondonia,17,1/1/2006
2007,Feb,rondonia,8,1/1/2007
2008,Feb,rondonia,7,1/1/2008
2009,Feb,rondonia,1,1/1/2009
2010,Feb,rondonia,9,1/1/2010
2011,Feb,rondonia,2,1/1/2011
2012,Feb,rondonia,9,1/1/2012
2013,Feb,rondonia,8,1/1/2013
2014,Feb,rondonia,5,1/1/2014
2015,Feb,rondonia,22,1/1/2015
2016,Feb,rondonia,88,1/1/2016
2017,Feb,rondonia,10,1/1/2017
1998,Mar,rondonia,0,1/1/1998
1999,Mar,rondonia,8,1/1/1999
2000,Mar,rondonia,9,1/1/2000
2001,Mar,rondonia,0,1/1/2001
2002,Mar,rondonia,1,1/1/2002
2003,Mar,rondonia,13,1/1/2003
2004,Mar,rondonia,20,1/1/2004
2005,Mar,rondonia,17,1/1/2005
2006,Mar,rondonia,15,1/1/2006
2007,Mar,rondonia,20,1/1/2007
2008,Mar,rondonia,2,1/1/2008
2009,Mar,rondonia,12,1/1/2009
2010,Mar,rondonia,11,1/1/2010
2011,Mar,rondonia,6,1/1/2011
2012,Mar,rondonia,6,1/1/2012
2013,Mar,rondonia,23,1/1/2013
2014,Mar,rondonia,13,1/1/2014
2015,Mar,rondonia,15,1/1/2015
2016,Mar,rondonia,25,1/1/2016
2017,Mar,rondonia,21,1/1/2017
1998,Apr,rondonia,0,1/1/1998
1999,Apr,rondonia,3,1/1/1999
2000,Apr,rondonia,0,1/1/2000
2001,Apr,rondonia,0,1/1/2001
2002,Apr,rondonia,3,1/1/2002
2003,Apr,rondonia,10,1/1/2003
2004,Apr,rondonia,14,1/1/2004
2005,Apr,rondonia,7,1/1/2005
2006,Apr,rondonia,0,1/1/2006
2007,Apr,rondonia,0,1/1/2007
2008,Apr,rondonia,8,1/1/2008
2009,Apr,rondonia,3,1/1/2009
2010,Apr,rondonia,19,1/1/2010
2011,Apr,rondonia,,1/1/2011
2012,Apr,rondonia,12,1/1/2012
2013,Apr,rondonia,9,1/1/2013
2014,Apr,rondonia,15,1/1/2014
2015,Apr,rondonia,15,1/1/2015
2016,Apr,rondonia,59,1/1/2016
2017,Apr,rondonia,19,1/1/2017
1998,May,rondonia,0,1/1/1998
1999,May,rondonia,3,1/1/1999
2000,May,rondonia,13,1/1/2000
2001,May,rondonia,5,1/1/2001
2002,May,rondonia,10,1/1/2002
2003,May,rondonia,21,1/1/2003
2004,May,rondonia,,1/1/2004
2005,May,rondonia,38,1/1/2005
2006,May,rondonia,7,1/1/2006
2007,May,rondonia,4,1/1/2007
2008,May,rondonia,1,1/1/2008
2009,May,rondonia,6,1/1/2009
2010,May,rondonia,41,1/1/2010
2011,May,rondonia,54,1/1/2011
2012,May,rondonia,22,1/1/2012
2013,May,rondonia,9,1/1/2013
2014,May,rondonia,28,1/1/2014
2015,May,rondonia,13,1/1/2015
2016,May,rondonia,44,1/1/2016
2017,May,rondonia,31,1/1/2017
1998,Jun,rondonia,26,1/1/1998
1999,Jun,rondonia,10,1/1/1999
2000,Jun,rondonia,54,1/1/2000
2001,Jun,rondonia,31,1/1/2001
2002,Jun,rondonia,141,1/1/2002
2003,Jun,rondonia,74,1/1/2003
2004,Jun,rondonia,151,1/1/2004
2005,Jun,rondonia,153,1/1/2005
2006,Jun,rondonia,40,1/1/2006
2007,Jun,rondonia,71,1/1/2007
2008,Jun,rondonia,11,1/1/2008
2009,Jun,rondonia,13,1/1/2009
2010,Jun,rondonia,,1/1/2010
2011,Jun,rondonia,130,1/1/2011
2012,Jun,rondonia,32,1/1/2012
2013,Jun,rondonia,22,1/1/2013
2014,Jun,rondonia,92,1/1/2014
2015,Jun,rondonia,119,1/1/2015
2016,Jun,rondonia,170,1/1/2016
2017,Jun,rondonia,192,1/1/2017
1998,Jul,rondonia,365,1/1/1998
1999,Jul,rondonia,135,1/1/1999
2000,Jul,rondonia,117,1/1/2000
2001,Jul,rondonia,74,1/1/2001
2002,Jul,rondonia,539,1/1/2002
2003,Jul,rondonia,516,1/1/2003
2004,Jul,rondonia,1.233,1/1/2004
2005,Jul,rondonia,798,1/1/2005
2006,Jul,rondonia,314,1/1/2006
2007,Jul,rondonia,187,1/1/2007
2008,Jul,rondonia,138,1/1/2008
2009,Jul,rondonia,110,1/1/2009
2010,Jul,rondonia,747,1/1/2010
2011,Jul,rondonia,293,1/1/2011
2012,Jul,rondonia,205,1/1/2012
2013,Jul,rondonia,117,1/1/2013
2014,Jul,rondonia,192,1/1/2014
2015,Jul,rondonia,423,1/1/2015
2016,Jul,rondonia,969,1/1/2016
2017,Jul,rondonia,1.28,1/1/2017
1998,Aug,rondonia,2.254,1/1/1998
1999,Aug,rondonia,1.976,1/1/1999
2000,Aug,rondonia,2.197,1/1/2000
2001,Aug,rondonia,2.132,1/1/2001
2002,Aug,rondonia,3.465,1/1/2002
2003,Aug,rondonia,7.06,1/1/2003
2004,Aug,rondonia,6.893,1/1/2004
2005,Aug,rondonia,6.672,1/1/2005
2006,Aug,rondonia,3.124,1/1/2006
2007,Aug,rondonia,4.786,1/1/2007
2008,Aug,rondonia,1.251,1/1/2008
2009,Aug,rondonia,484,1/1/2009
2010,Aug,rondonia,4.388,1/1/2010
2011,Aug,rondonia,1.161,1/1/2011
2012,Aug,rondonia,2.209,1/1/2012
2013,Aug,rondonia,885,1/1/2013
2014,Aug,rondonia,3.038,1/1/2014
2015,Aug,rondonia,3.762,1/1/2015
2016,Aug,rondonia,3.675,1/1/2016
2017,Aug,rondonia,4.287,1/1/2017
1998,Sep,rondonia,3.753,1/1/1998
1999,Sep,rondonia,3.062,1/1/1999
2000,Sep,rondonia,2.438,1/1/2000
2001,Sep,rondonia,1.927,1/1/2001
2002,Sep,rondonia,7.067,1/1/2002
2003,Sep,rondonia,6.89,1/1/2003
2004,Sep,rondonia,13.05,1/1/2004
2005,Sep,rondonia,13.972,1/1/2005
2006,Sep,rondonia,9.92,1/1/2006
2007,Sep,rondonia,6.832,1/1/2007
2008,Sep,rondonia,3.726,1/1/2008
2009,Sep,rondonia,1.869,1/1/2009
2010,Sep,rondonia,4.893,1/1/2010
2011,Sep,rondonia,1.782,1/1/2011
2012,Sep,rondonia,2.471,1/1/2012
2013,Sep,rondonia,1.776,1/1/2013
2014,Sep,rondonia,2.8,1/1/2014
2015,Sep,rondonia,6.129,1/1/2015
2016,Sep,rondonia,4.208,1/1/2016
2017,Sep,rondonia,5.638,1/1/2017
1998,Oct,rondonia,483,1/1/1998
1999,Oct,rondonia,1.884,1/1/1999
2000,Oct,rondonia,644,1/1/2000
2001,Oct,rondonia,796,1/1/2001
2002,Oct,rondonia,3.554,1/1/2002
2003,Oct,rondonia,4.962,1/1/2003
2004,Oct,rondonia,3.094,1/1/2004
2005,Oct,rondonia,2.559,1/1/2005
2006,Oct,rondonia,1.148,1/1/2006
2007,Oct,rondonia,2.023,1/1/2007
2008,Oct,rondonia,1.482,1/1/2008
2009,Oct,rondonia,1.444,1/1/2009
2010,Oct,rondonia,1.307,1/1/2010
2011,Oct,rondonia,822,1/1/2011
2012,Oct,rondonia,1.229,1/1/2012
2013,Oct,rondonia,555,1/1/2013
2014,Oct,rondonia,1.063,1/1/2014
2015,Oct,rondonia,2.598,1/1/2015
2016,Oct,rondonia,1.844,1/1/2016
2017,Oct,rondonia,2.19,1/1/2017
1998,Nov,rondonia,3,1/1/1998
1999,Nov,rondonia,41,1/1/1999
2000,Nov,rondonia,13,1/1/2000
2001,Nov,rondonia,91,1/1/2001
2002,Nov,rondonia,,1/1/2002
2003,Nov,rondonia,526,1/1/2003
2004,Nov,rondonia,452,1/1/2004
2005,Nov,rondonia,465,1/1/2005
2006,Nov,rondonia,253,1/1/2006
2007,Nov,rondonia,53,1/1/2007
2008,Nov,rondonia,78,1/1/2008
2009,Nov,rondonia,128,1/1/2009
2010,Nov,rondonia,238,1/1/2010
2011,Nov,rondonia,245,1/1/2011
2012,Nov,rondonia,174,1/1/2012
2013,Nov,rondonia,108,1/1/2013
2014,Nov,rondonia,,1/1/2014
2015,Nov,rondonia,1.002,1/1/2015
2016,Nov,rondonia,401,1/1/2016
2017,Nov,rondonia,372,1/1/2017
1998,Dec,rondonia,33,1/1/1998
1999,Dec,rondonia,0,1/1/1999
2000,Dec,rondonia,7,1/1/2000
2001,Dec,rondonia,1,1/1/2001
2002,Dec,rondonia,91,1/1/2002
2003,Dec,rondonia,214,1/1/2003
2004,Dec,rondonia,208,1/1/2004
2005,Dec,rondonia,36,1/1/2005
2006,Dec,rondonia,4,1/1/2006
2007,Dec,rondonia,6,1/1/2007
2008,Dec,rondonia,2,1/1/2008
2009,Dec,rondonia,9,1/1/2009
2010,Dec,rondonia,158,1/1/2010
2011,Dec,rondonia,37,1/1/2011
2012,Dec,rondonia,50,1/1/2012
2013,Dec,rondonia,143,1/1/2013
2014,Dec,rondonia,,1/1/2014
2015,Dec,rondonia,282,1/1/2015
2016,Dec,rondonia,148,1/1/2016
1998,Jan,Roraima,0,1/1/1998
1999,Jan,Roraima,15,1/1/1999
2000,Jan,Roraima,18,1/1/2000
2001,Jan,Roraima,101,1/1/2001
2002,Jan,Roraima,302,1/1/2002
2003,Jan,Roraima,547,1/1/2003
2004,Jan,Roraima,355,1/1/2004
2005,Jan,Roraima,106,1/1/2005
2006,Jan,Roraima,70,1/1/2006
2007,Jan,Roraima,194,1/1/2007
2008,Jan,Roraima,245,1/1/2008
2009,Jan,Roraima,45,1/1/2009
2010,Jan,Roraima,351,1/1/2010
2011,Jan,Roraima,225,1/1/2011
2012,Jan,Roraima,217,1/1/2012
2013,Jan,Roraima,397,1/1/2013
2014,Jan,Roraima,355,1/1/2014
2015,Jan,Roraima,330,1/1/2015
2016,Jan,Roraima,1.754,1/1/2016
2017,Jan,Roraima,108,1/1/2017
1998,Feb,Roraima,0,1/1/1998
1999,Feb,Roraima,20,1/1/1999
2000,Feb,Roraima,57,1/1/2000
2001,Feb,Roraima,646,1/1/2001
2002,Feb,Roraima,476,1/1/2002
2003,Feb,Roraima,767,1/1/2003
2004,Feb,Roraima,259,1/1/2004
2005,Feb,Roraima,105,1/1/2005
2006,Feb,Roraima,283,1/1/2006
2007,Feb,Roraima,796,1/1/2007
2008,Feb,Roraima,138,1/1/2008
2009,Feb,Roraima,153,1/1/2009
2010,Feb,Roraima,,1/1/2010
2011,Feb,Roraima,112,1/1/2011
2012,Feb,Roraima,130,1/1/2012
2013,Feb,Roraima,62,1/1/2013
2014,Feb,Roraima,226,1/1/2014
2015,Feb,Roraima,418,1/1/2015
2016,Feb,Roraima,171,1/1/2016
2017,Feb,Roraima,129,1/1/2017
1998,Mar,Roraima,0,1/1/1998
1999,Mar,Roraima,98,1/1/1999
2000,Mar,Roraima,125,1/1/2000
2001,Mar,Roraima,1.108,1/1/2001
2002,Mar,Roraima,820,1/1/2002
2003,Mar,Roraima,1.131,1/1/2003
2004,Mar,Roraima,276,1/1/2004
2005,Mar,Roraima,244,1/1/2005
2006,Mar,Roraima,385,1/1/2006
2007,Mar,Roraima,665,1/1/2007
2008,Mar,Roraima,422,1/1/2008
2009,Mar,Roraima,176,1/1/2009
2010,Mar,Roraima,417,1/1/2010
2011,Mar,Roraima,91,1/1/2011
2012,Mar,Roraima,99,1/1/2012
2013,Mar,Roraima,179,1/1/2013
2014,Mar,Roraima,494,1/1/2014
2015,Mar,Roraima,163,1/1/2015
2016,Mar,Roraima,1.081,1/1/2016
2017,Mar,Roraima,216,1/1/2017
1998,Apr,Roraima,0,1/1/1998
1999,Apr,Roraima,16,1/1/1999
2000,Apr,Roraima,0,1/1/2000
2001,Apr,Roraima,380,1/1/2001
2002,Apr,Roraima,,1/1/2002
2003,Apr,Roraima,268,1/1/2003
2004,Apr,Roraima,182,1/1/2004
2005,Apr,Roraima,22,1/1/2005
2006,Apr,Roraima,201,1/1/2006
2007,Apr,Roraima,58,1/1/2007
2008,Apr,Roraima,175,1/1/2008
2009,Apr,Roraima,115,1/1/2009
2010,Apr,Roraima,15,1/1/2010
2011,Apr,Roraima,108,1/1/2011
2012,Apr,Roraima,25,1/1/2012
2013,Apr,Roraima,87,1/1/2013
2014,Apr,Roraima,162,1/1/2014
2015,Apr,Roraima,278,1/1/2015
2016,Apr,Roraima,126,1/1/2016
2017,Apr,Roraima,51,1/1/2017
1998,May,Roraima,0,1/1/1998
1999,May,Roraima,0,1/1/1999
2000,May,Roraima,7,1/1/2000
2001,May,Roraima,9,1/1/2001
2002,May,Roraima,0,1/1/2002
2003,May,Roraima,0,1/1/2003
2004,May,Roraima,2,1/1/2004
2005,May,Roraima,1,1/1/2005
2006,May,Roraima,0,1/1/2006
2007,May,Roraima,0,1/1/2007
2008,May,Roraima,8,1/1/2008
2009,May,Roraima,219,1/1/2009
2010,May,Roraima,3,1/1/2010
2011,May,Roraima,4,1/1/2011
2012,May,Roraima,18,1/1/2012
2013,May,Roraima,4,1/1/2013
2014,May,Roraima,58,1/1/2014
2015,May,Roraima,12,1/1/2015
2016,May,Roraima,22,1/1/2016
2017,May,Roraima,29,1/1/2017
1998,Jun,Roraima,,1/1/1998
1999,Jun,Roraima,3,1/1/1999
2000,Jun,Roraima,0,1/1/2000
2001,Jun,Roraima,1,1/1/2001
2002,Jun,Roraima,0,1/1/2002
2003,Jun,Roraima,0,1/1/2003
2004,Jun,Roraima,6,1/1/2004
2005,Jun,Roraima,5,1/1/2005
2006,Jun,Roraima,0,1/1/2006
2007,Jun,Roraima,1,1/1/2007
2008,Jun,Roraima,0,1/1/2008
2009,Jun,Roraima,16,1/1/2009
2010,Jun,Roraima,0,1/1/2010
2011,Jun,Roraima,6,1/1/2011
2012,Jun,Roraima,22,1/1/2012
2013,Jun,Roraima,6,1/1/2013
2014,Jun,Roraima,4,1/1/2014
2015,Jun,Roraima,3,1/1/2015
2016,Jun,Roraima,7,1/1/2016
2017,Jun,Roraima,4,1/1/2017
1998,Jul,Roraima,1,1/1/1998
1999,Jul,Roraima,4,1/1/1999
2000,Jul,Roraima,0,1/1/2000
2001,Jul,Roraima,1,1/1/2001
2002,Jul,Roraima,7,1/1/2002
2003,Jul,Roraima,0,1/1/2003
2004,Jul,Roraima,2,1/1/2004
2005,Jul,Roraima,2,1/1/2005
2006,Jul,Roraima,0,1/1/2006
2007,Jul,Roraima,3,1/1/2007
2008,Jul,Roraima,0,1/1/2008
2009,Jul,Roraima,18,1/1/2009
2010,Jul,Roraima,1,1/1/2010
2011,Jul,Roraima,9,1/1/2011
2012,Jul,Roraima,2,1/1/2012
2013,Jul,Roraima,4,1/1/2013
2014,Jul,Roraima,9,1/1/2014
2015,Jul,Roraima,5,1/1/2015
2016,Jul,Roraima,0,1/1/2016
2017,Jul,Roraima,3,1/1/2017
1998,Aug,Roraima,0,1/1/1998
1999,Aug,Roraima,1,1/1/1999
2000,Aug,Roraima,9,1/1/2000
2001,Aug,Roraima,4,1/1/2001
2002,Aug,Roraima,7,1/1/2002
2003,Aug,Roraima,2,1/1/2003
2004,Aug,Roraima,18,1/1/2004
2005,Aug,Roraima,9,1/1/2005
2006,Aug,Roraima,4,1/1/2006
2007,Aug,Roraima,2,1/1/2007
2008,Aug,Roraima,,1/1/2008
2009,Aug,Roraima,29,1/1/2009
2010,Aug,Roraima,3,1/1/2010
2011,Aug,Roraima,39,1/1/2011
2012,Aug,Roraima,4,1/1/2012
2013,Aug,Roraima,3,1/1/2013
2014,Aug,Roraima,12,1/1/2014
2015,Aug,Roraima,11,1/1/2015
2016,Aug,Roraima,11,1/1/2016
2017,Aug,Roraima,35,1/1/2017
1998,Sep,Roraima,2,1/1/1998
1999,Sep,Roraima,3,1/1/1999
2000,Sep,Roraima,12,1/1/2000
2001,Sep,Roraima,1,1/1/2001
2002,Sep,Roraima,48,1/1/2002
2003,Sep,Roraima,6,1/1/2003
2004,Sep,Roraima,9,1/1/2004
2005,Sep,Roraima,72,1/1/2005
2006,Sep,Roraima,40,1/1/2006
2007,Sep,Roraima,9,1/1/2007
2008,Sep,Roraima,17,1/1/2008
2009,Sep,Roraima,117,1/1/2009
2010,Sep,Roraima,18,1/1/2010
2011,Sep,Roraima,53,1/1/2011
2012,Sep,Roraima,67,1/1/2012
2013,Sep,Roraima,18,1/1/2013
2014,Sep,Roraima,67,1/1/2014
2015,Sep,Roraima,77,1/1/2015
2016,Sep,Roraima,19,1/1/2016
2017,Sep,Roraima,43,1/1/2017
1998,Oct,Roraima,1,1/1/1998
1999,Oct,Roraima,10,1/1/1999
2000,Oct,Roraima,25,1/1/2000
2001,Oct,Roraima,13,1/1/2001
2002,Oct,Roraima,191,1/1/2002
2003,Oct,Roraima,14,1/1/2003
2004,Oct,Roraima,53,1/1/2004
2005,Oct,Roraima,88,1/1/2005
2006,Oct,Roraima,135,1/1/2006
2007,Oct,Roraima,15,1/1/2007
2008,Oct,Roraima,78,1/1/2008
2009,Oct,Roraima,197,1/1/2009
2010,Oct,Roraima,64,1/1/2010
2011,Oct,Roraima,65,1/1/2011
2012,Oct,Roraima,152,1/1/2012
2013,Oct,Roraima,63,1/1/2013
2014,Oct,Roraima,61,1/1/2014
2015,Oct,Roraima,181,1/1/2015
2016,Oct,Roraima,101,1/1/2016
2017,Oct,Roraima,156,1/1/2017
1998,Nov,Roraima,1,1/1/1998
1999,Nov,Roraima,15,1/1/1999
2000,Nov,Roraima,32,1/1/2000
2001,Nov,Roraima,76,1/1/2001
2002,Nov,Roraima,133,1/1/2002
2003,Nov,Roraima,27,1/1/2003
2004,Nov,Roraima,135,1/1/2004
2005,Nov,Roraima,135,1/1/2005
2006,Nov,Roraima,26,1/1/2006
2007,Nov,Roraima,112,1/1/2007
2008,Nov,Roraima,39,1/1/2008
2009,Nov,Roraima,312,1/1/2009
2010,Nov,Roraima,27,1/1/2010
2011,Nov,Roraima,,1/1/2011
2012,Nov,Roraima,187,1/1/2012
2013,Nov,Roraima,106,1/1/2013
2014,Nov,Roraima,143,1/1/2014
2015,Nov,Roraima,280,1/1/2015
2016,Nov,Roraima,71,1/1/2016
2017,Nov,Roraima,327,1/1/2017
1998,Dec,Roraima,16,1/1/1998
1999,Dec,Roraima,35,1/1/1999
2000,Dec,Roraima,77,1/1/2000
2001,Dec,Roraima,76,1/1/2001
2002,Dec,Roraima,199,1/1/2002
2003,Dec,Roraima,157,1/1/2003
2004,Dec,Roraima,160,1/1/2004
2005,Dec,Roraima,71,1/1/2005
2006,Dec,Roraima,101,1/1/2006
2007,Dec,Roraima,8,1/1/2007
2008,Dec,Roraima,5,1/1/2008
2009,Dec,Roraima,290,1/1/2009
2010,Dec,Roraima,73,1/1/2010
2011,Dec,Roraima,249,1/1/2011
2012,Dec,Roraima,78,1/1/2012
2013,Dec,Roraima,65,1/1/2013
2014,Dec,Roraima,277,1/1/2014
2015,Dec,Roraima,304,1/1/2015
2016,Dec,Roraima,136,1/1/2016
1998,Jan,Santa Catarina,0,1/1/1998
1999,Jan,Santa Catarina,11,1/1/1999
2000,Jan,Santa Catarina,14,1/1/2000
2001,Jan,Santa Catarina,11,1/1/2001
2002,Jan,Santa Catarina,22,1/1/2002
2003,Jan,Santa Catarina,45,1/1/2003
2004,Jan,Santa Catarina,37,1/1/2004
2005,Jan,Santa Catarina,46,1/1/2005
2006,Jan,Santa Catarina,41,1/1/2006
2007,Jan,Santa Catarina,9,1/1/2007
2008,Jan,Santa Catarina,25,1/1/2008
2009,Jan,Santa Catarina,21,1/1/2009
2010,Jan,Santa Catarina,2,1/1/2010
2011,Jan,Santa Catarina,9,1/1/2011
2012,Jan,Santa Catarina,14,1/1/2012
2013,Jan,Santa Catarina,18,1/1/2013
2014,Jan,Santa Catarina,58,1/1/2014
2015,Jan,Santa Catarina,28,1/1/2015
2016,Jan,Santa Catarina,53,1/1/2016
2017,Jan,Santa Catarina,46,1/1/2017
1998,Feb,Santa Catarina,0,1/1/1998
1999,Feb,Santa Catarina,2,1/1/1999
2000,Feb,Santa Catarina,8,1/1/2000
2001,Feb,Santa Catarina,0,1/1/2001
2002,Feb,Santa Catarina,5,1/1/2002
2003,Feb,Santa Catarina,43,1/1/2003
2004,Feb,Santa Catarina,29,1/1/2004
2005,Feb,Santa Catarina,46,1/1/2005
2006,Feb,Santa Catarina,18,1/1/2006
2007,Feb,Santa Catarina,14,1/1/2007
2008,Feb,Santa Catarina,29,1/1/2008
2009,Feb,Santa Catarina,7,1/1/2009
2010,Feb,Santa Catarina,15,1/1/2010
2011,Feb,Santa Catarina,1,1/1/2011
2012,Feb,Santa Catarina,13,1/1/2012
2013,Feb,Santa Catarina,12,1/1/2013
2014,Feb,Santa Catarina,27,1/1/2014
2015,Feb,Santa Catarina,23,1/1/2015
2016,Feb,Santa Catarina,10,1/1/2016
2017,Feb,Santa Catarina,31,1/1/2017
1998,Mar,Santa Catarina,0,1/1/1998
1999,Mar,Santa Catarina,7,1/1/1999
2000,Mar,Santa Catarina,46,1/1/2000
2001,Mar,Santa Catarina,1,1/1/2001
2002,Mar,Santa Catarina,12,1/1/2002
2003,Mar,Santa Catarina,58,1/1/2003
2004,Mar,Santa Catarina,73,1/1/2004
2005,Mar,Santa Catarina,92,1/1/2005
2006,Mar,Santa Catarina,48,1/1/2006
2007,Mar,Santa Catarina,23,1/1/2007
2008,Mar,Santa Catarina,14,1/1/2008
2009,Mar,Santa Catarina,33,1/1/2009
2010,Mar,Santa Catarina,9,1/1/2010
2011,Mar,Santa Catarina,8,1/1/2011
2012,Mar,Santa Catarina,65,1/1/2012
2013,Mar,Santa Catarina,14,1/1/2013
2014,Mar,Santa Catarina,15,1/1/2014
2015,Mar,Santa Catarina,37,1/1/2015
2016,Mar,Santa Catarina,21,1/1/2016
2017,Mar,Santa Catarina,12,1/1/2017
1998,Apr,Santa Catarina,0,1/1/1998
1999,Apr,Santa Catarina,0,1/1/1999
2000,Apr,Santa Catarina,7,1/1/2000
2001,Apr,Santa Catarina,1,1/1/2001
2002,Apr,Santa Catarina,7,1/1/2002
2003,Apr,Santa Catarina,120,1/1/2003
2004,Apr,Santa Catarina,59,1/1/2004
2005,Apr,Santa Catarina,25,1/1/2005
2006,Apr,Santa Catarina,30,1/1/2006
2007,Apr,Santa Catarina,2,1/1/2007
2008,Apr,Santa Catarina,31,1/1/2008
2009,Apr,Santa Catarina,57,1/1/2009
2010,Apr,Santa Catarina,19,1/1/2010
2011,Apr,Santa Catarina,5,1/1/2011
2012,Apr,Santa Catarina,40,1/1/2012
2013,Apr,Santa Catarina,46,1/1/2013
2014,Apr,Santa Catarina,34,1/1/2014
2015,Apr,Santa Catarina,32,1/1/2015
2016,Apr,Santa Catarina,36,1/1/2016
2017,Apr,Santa Catarina,26,1/1/2017
1998,May,Santa Catarina,0,1/1/1998
1999,May,Santa Catarina,1,1/1/1999
2000,May,Santa Catarina,0,1/1/2000
2001,May,Santa Catarina,2,1/1/2001
2002,May,Santa Catarina,3,1/1/2002
2003,May,Santa Catarina,84,1/1/2003
2004,May,Santa Catarina,2,1/1/2004
2005,May,Santa Catarina,21,1/1/2005
2006,May,Santa Catarina,33,1/1/2006
2007,May,Santa Catarina,2,1/1/2007
2008,May,Santa Catarina,15,1/1/2008
2009,May,Santa Catarina,33,1/1/2009
2010,May,Santa Catarina,1,1/1/2010
2011,May,Santa Catarina,16,1/1/2011
2012,May,Santa Catarina,60,1/1/2012
2013,May,Santa Catarina,52,1/1/2013
2014,May,Santa Catarina,42,1/1/2014
2015,May,Santa Catarina,70,1/1/2015
2016,May,Santa Catarina,26,1/1/2016
2017,May,Santa Catarina,36,1/1/2017
1998,Jun,Santa Catarina,2,1/1/1998
1999,Jun,Santa Catarina,0,1/1/1999
2000,Jun,Santa Catarina,2,1/1/2000
2001,Jun,Santa Catarina,1,1/1/2001
2002,Jun,Santa Catarina,0,1/1/2002
2003,Jun,Santa Catarina,68,1/1/2003
2004,Jun,Santa Catarina,127,1/1/2004
2005,Jun,Santa Catarina,58,1/1/2005
2006,Jun,Santa Catarina,32,1/1/2006
2007,Jun,Santa Catarina,11,1/1/2007
2008,Jun,Santa Catarina,2,1/1/2008
2009,Jun,Santa Catarina,14,1/1/2009
2010,Jun,Santa Catarina,1,1/1/2010
2011,Jun,Santa Catarina,26,1/1/2011
2012,Jun,Santa Catarina,42,1/1/2012
2013,Jun,Santa Catarina,31,1/1/2013
2014,Jun,Santa Catarina,3,1/1/2014
2015,Jun,Santa Catarina,104,1/1/2015
2016,Jun,Santa Catarina,79,1/1/2016
2017,Jun,Santa Catarina,70,1/1/2017
1998,Jul,Santa Catarina,0,1/1/1998
1999,Jul,Santa Catarina,2,1/1/1999
2000,Jul,Santa Catarina,21,1/1/2000
2001,Jul,Santa Catarina,5,1/1/2001
2002,Jul,Santa Catarina,82,1/1/2002
2003,Jul,Santa Catarina,43,1/1/2003
2004,Jul,Santa Catarina,94,1/1/2004
2005,Jul,Santa Catarina,90,1/1/2005
2006,Jul,Santa Catarina,74,1/1/2006
2007,Jul,Santa Catarina,12,1/1/2007
2008,Jul,Santa Catarina,46,1/1/2008
2009,Jul,Santa Catarina,26,1/1/2009
2010,Jul,Santa Catarina,31,1/1/2010
2011,Jul,Santa Catarina,31,1/1/2011
2012,Jul,Santa Catarina,42,1/1/2012
2013,Jul,Santa Catarina,69,1/1/2013
2014,Jul,Santa Catarina,82,1/1/2014
2015,Jul,Santa Catarina,45,1/1/2015
2016,Jul,Santa Catarina,480,1/1/2016
2017,Jul,Santa Catarina,591,1/1/2017
1998,Aug,Santa Catarina,0,1/1/1998
1999,Aug,Santa Catarina,51,1/1/1999
2000,Aug,Santa Catarina,69,1/1/2000
2001,Aug,Santa Catarina,24,1/1/2001
2002,Aug,Santa Catarina,702,1/1/2002
2003,Aug,Santa Catarina,1.513,1/1/2003
2004,Aug,Santa Catarina,728,1/1/2004
2005,Aug,Santa Catarina,391,1/1/2005
2006,Aug,Santa Catarina,728,1/1/2006
2007,Aug,Santa Catarina,462,1/1/2007
2008,Aug,Santa Catarina,,1/1/2008
2009,Aug,Santa Catarina,759,1/1/2009
2010,Aug,Santa Catarina,511,1/1/2010
2011,Aug,Santa Catarina,175,1/1/2011
