year,month,state,no_of_fires,date
2005,Jul,Amapa,0,1/1/2005
2006,Jul,Amapa,0,1/1/2006
2007,Jul,Amapa,0,1/1/2007
2008,Jul,Amapa,0,1/1/2008
2009,Jul,Amapa,4,1/1/2009
2010,Jul,Amapa,2,1/1/2010
2011,Jul,Amapa,5,1/1/2011
2012,Jul,Amapa,3,1/1/2012
2013,Jul,Amapa,,1/1/2013
2014,Jul,Amapa,4,1/1/2014
2015,Jul,Amapa,5,1/1/2015
2016,Jul,Amapa,1,1/1/2016
2017,Jul,Amapa,3,1/1/2017
1998,Aug,Amapa,1,1/1/1998
1999,Aug,Amapa,0,1/1/1999
2000,Aug,Amapa,3,1/1/2000
2001,Aug,Amapa,12,1/1/2001
2002,Aug,Amapa,18,1/1/2002
2003,Aug,Amapa,14,1/1/2003
2004,Aug,Amapa,9,1/1/2004
2005,Aug,Amapa,4,1/1/2005
2006,Aug,Amapa,11,1/1/2006
2007,Aug,Amapa,5,1/1/2007
2008,Aug,Amapa,4,1/1/2008
2009,Aug,Amapa,20,1/1/2009
2010,Aug,Amapa,1,1/1/2010
2011,Aug,Amapa,16,1/1/2011
2012,Aug,Amapa,19,1/1/2012
2013,Aug,Amapa,9,1/1/2013
2014,Aug,Amapa,18,1/1/2014
2015,Aug,Amapa,40,1/1/2015
2016,Aug,Amapa,37,1/1/2016
2017,Aug,Amapa,33,1/1/2017
1998,Sep,Amapa,20,1/1/1998
1999,Sep,Amapa,4,1/1/1999
2000,Sep,Amapa,19,1/1/2000
2001,Sep,Amapa,,1/1/2001
2002,Sep,Amapa,73,1/1/2002
2003,Sep,Amapa,88,1/1/2003
2004,Sep,Amapa,67,1/1/2004
2005,Sep,Amapa,97,1/1/2005
2006,Sep,Amapa,112,1/1/2006
2007,Sep,Amapa,61,1/1/2007
2008,Sep,Amapa,83,1/1/2008
2009,Sep,Amapa,,1/1/2009
2010,Sep,Amapa,63,1/1/2010
2011,Sep,Amapa,128,1/1/2011
2012,Sep,Amapa,168,1/1/2012
2013,Sep,Amapa,85,1/1/2013
